"厨艺的常识 - [美] 迈克尔·鲁尔曼 著,唐娜·鲁尔曼  摄（epub+mobi+azw3）",请参考图书详情,,生活,,,https://img1.doubanio.com/view/subject/s/public/s29520918.jpg,百度网盘##https://pan.baidu.com/s/1tPpH8N9AwjLY5QC6506Gow,,,j2au,https://www.obook.cc/thread-13249.htm
见识 - [美]吴军（epub+mobi+azw3）,请参考图书详情,,商业,,,https://img3.doubanio.com/view/subject/s/public/s29575321.jpg,百度网盘##https://pan.baidu.com/s/1QnVUF7CzamRyXG7tYXi1Dg,,,2nfx,https://www.obook.cc/thread-13248.htm
耻 - [南非] J. M. 库切（epub+mobi+azw3）,请参考图书详情,,小说,,,https://img9.doubanio.com/view/subject/s/public/s4530806.jpg,百度网盘##https://pan.baidu.com/s/1DEwWchrT01KNp7ZrXek3Vw,,,gk1n,https://www.obook.cc/thread-13247.htm
MBA教不了的创富课 -             老雕（epub+mobi+azw3）,请参考图书详情,,商业,,,https://img1.doubanio.com/view/subject/s/public/s6478699.jpg,百度网盘##https://pan.baidu.com/s/1YLmY0xJQnJg_edq_ZQI6LQ,,,757j,https://www.obook.cc/thread-13246.htm
"不平等的童年 -  [美]安妮特·拉鲁,张旭,日常生活批判系列（epub+mobi+azw3）",请参考图书详情,,心理,,,https://img1.doubanio.com/view/subject/s/public/s4130228.jpg,百度网盘##https://pan.baidu.com/s/1F87KqFK1wsGfsJboK_-vzw,,,ccy8,https://www.obook.cc/thread-13245.htm
新视角全球简史全4本套装（诺曼人简史+美国独立战争简史+玫瑰战争简史+英国文艺复兴戏剧简史）（epub+mobi+azw3）,请参考图书详情,,合集,,,https://images-cn.ssl-images-amazon.com/images/I/61XALL8v0mL.jpg,百度网盘##https://pan.baidu.com/s/11MFy8cpfuiwUa3s1rI5rrQ,,,admd,https://www.obook.cc/thread-13199.htm
心理学经典作品集（行为改变思想：表现原理+自我本我与集体心理学+乌合之众+自卑与超越）套装共四册（epub+mobi+azw3）,请参考图书详情,,合集,,,https://images-cn.ssl-images-amazon.com/images/I/61XNEitgLtL.jpg,百度网盘##https://pan.baidu.com/s/1MBFnIPYtTVi_zFFLEuIOuw,,,9m7u,https://www.obook.cc/thread-13198.htm
皇宫日落：平成退位与天皇家秘辛（全2册） - 姜建强（epub+mobi+azw3）,请参考图书详情,,历史,,,https://img3.doubanio.com/view/subject/s/public/s33467360.jpg,百度网盘##https://pan.baidu.com/s/1PdOFTiCYn_t5MccGxSIGHw,,,rdbi,https://www.obook.cc/thread-13197.htm
贝托尔特·布莱希特 - [德] 雅恩·克诺普夫(Jan Knopf)（epub+mobi+azw3）,请参考图书详情,,艺术,,,https://img9.doubanio.com/view/subject/s/public/s29921105.jpg,百度网盘##https://pan.baidu.com/s/1CvKYSgjZcvd5FjwMATTTig,,,pcud,https://www.obook.cc/thread-13196.htm
莱布尼茨、牛顿与发明时间 - [德] 托马斯·德·帕多瓦（epub+mobi+azw3）,请参考图书详情,,科普,,,https://img1.doubanio.com/view/subject/s/public/s33466987.jpg,百度网盘##https://pan.baidu.com/s/1g0CEa7NZ8P2UcuhGEu5M_g,,,2qq5,https://www.obook.cc/thread-13195.htm
谜一样的清明上河图（精致版） - (日)野岛刚（epub+mobi+azw3）,请参考图书详情,,文化,,,https://img9.doubanio.com/view/subject/s/public/s27763026.jpg,百度网盘##https://pan.baidu.com/s/1gOUeAxq_0nsaqmet4Zk-HA,,,rkpx,https://www.obook.cc/thread-13194.htm
伊本·赫勒敦 - [美]罗伯特·欧文（Robert Irwin）（epub+mobi+azw3）,请参考图书详情,,历史,,,https://img3.doubanio.com/view/subject/s/public/s30017692.jpg,百度网盘##https://pan.baidu.com/s/1GaKV8v40eadKITGiaUkFng,,,ynwa,https://www.obook.cc/thread-13193.htm
日本人的画像 - 李长声（epub+mobi+azw3）,请参考图书详情,,文化,,,https://img3.doubanio.com/view/subject/s/public/s33467361.jpg,百度网盘##https://pan.baidu.com/s/1A9h_uE2xNSUYLQRDPfYsAA,,,2e5m,https://www.obook.cc/thread-13192.htm
"货币战争 - [美]詹姆斯·里卡兹,James Rickards（epub+mobi+azw3）",请参考图书详情,,文学,,,https://img9.doubanio.com/view/subject/s/public/s29840304.jpg,百度网盘##https://pan.baidu.com/s/1S52VODjIF47RqC6xZynqfQ,,,xudu,https://www.obook.cc/thread-13191.htm
无缘社会 - 日本NHK特别节目录制组（epub+mobi+azw3）,请参考图书详情,,文学,,,https://img9.doubanio.com/view/subject/s/public/s30018066.jpg,百度网盘##https://pan.baidu.com/s/1yYyve3TjkqS_EiCet0zbEw,,,1hj7,https://www.obook.cc/thread-13190.htm
史蒂芬·霍金作品集（套装共8册：《时间简史》、《时间简史》插图本、《时间简史》普及版、《果壳中的宇宙》、《大设计》、《霍金讲演录》、《时间简史续篇》、《时空本性》）（epub+mobi+azw3）,请参考图书详情,,科普,,,https://images-cn.ssl-images-amazon.com/images/I/51w7%2BGIw3lL.jpg,百度网盘##https://pan.baidu.com/s/17HZsOrrc_B4zJ4X0pekt-w,,,9jhg,https://www.obook.cc/thread-13155.htm
迷雾之子1-3：最后的帝国+升华之井+永世英雄（epub+mobi+azw3）,请参考图书详情,,合集,,,https://images-cn.ssl-images-amazon.com/images/I/51zul2tOugL.jpg,百度网盘##https://pan.baidu.com/s/1iC34vhvjvCWwNIGtJSjRWA,,,u27z,https://www.obook.cc/thread-13154.htm
美国海：墨西哥湾的历史 - [美]杰克·E.戴维斯（epub+mobi+azw3）,请参考图书详情,,历史,,,https://img9.doubanio.com/view/subject/s/public/s33549255.jpg,百度网盘##https://pan.baidu.com/s/1M4oMcGxKqIVPGyBdBrSsbg,,,6qfw,https://www.obook.cc/thread-13153.htm
丝绸之路——从蓬莱到罗马 - 高洪雷（epub+mobi+azw3）,请参考图书详情,,历史,,,https://images-cn.ssl-images-amazon.com/images/I/41DYJElUlPL.jpg,百度网盘##https://pan.baidu.com/s/1SdUrR4i9OLklcXpajT3Fuw,,,4m4v,https://www.obook.cc/thread-13152.htm
甜甜圈经济学 - [英] 凯特·拉沃斯（epub+mobi+azw3）,请参考图书详情,,经济金融,,,https://img9.doubanio.com/view/subject/s/public/s33545844.jpg,百度网盘##https://pan.baidu.com/s/1N8acsJo4UDQH-SC6v5wM_A,,,e4b4,https://www.obook.cc/thread-13151.htm
文案爆炸 轻松写出打动人心的销售文案 - 赵慧（epub+mobi+azw3）,请参考图书详情,,商业,,,https://images-cn.ssl-images-amazon.com/images/I/51cwDFutrjL.jpg,百度网盘##https://pan.baidu.com/s/12MKf8BFcgAaCigLjPe-SeQ,,,adwa,https://www.obook.cc/thread-13150.htm
"银河边缘002：冰冻未来 - 杨枫,[美]迈克·雷斯尼克 编（epub+mobi+azw3）",请参考图书详情,,小说,,,https://img9.doubanio.com/view/subject/s/public/s29921286.jpg,百度网盘##https://pan.baidu.com/s/1JDli_i-iyb_Klup3cvHLMA,,,15ih,https://www.obook.cc/thread-13149.htm
读幻想文学 - 【日】河合隼雄 著  河合俊雄 编（epub+mobi+azw3）,请参考图书详情,,文学,,,https://img1.doubanio.com/view/subject/s/public/s30019089.jpg,百度网盘##https://pan.baidu.com/s/1h0LGHVIvn_azVff-sl6Esw,,,v7ch,https://www.obook.cc/thread-13148.htm
